state,date,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,dec_percent_bed_used,dec_percent_beds_used_COVID,dec_percent_COVID_of_beds_used
VA,11/10/20,18303,12806,1280,0.699666721,0.069933891,0.099953147
PA,7/9/20,11798,6712,810,0.568909985,0.068655704,0.12067938
CO,6/9/20,9876,5300,362,0.536654516,0.036654516,0.068301887
NY,8/31/20,40436,28660,1274,0.708774359,0.031506578,0.044452198
DC,7/1/20,3052,2181,164,0.714613368,0.053735256,0.075194865
NC,9/2/20,23283,6758,1043,0.290254692,0.044796633,0.154335602
MA,9/11/20,18566,13571,286,0.730959819,0.015404503,0.02107435
AZ,10/20/20,14958,10771,957,0.720082899,0.063979142,0.088849689
VT,8/15/20,620,407,12,0.656451613,0.019354839,0.029484029
AZ,4/22/20,10183,6147,604,0.603653147,0.059314544,0.098259313
TX,10/31/20,60167,41132,6469,0.683630562,0.10751741,0.157274142
SC,5/9/20,11557,7191,486,0.622220299,0.042052436,0.067584481
AL,10/23/20,15329,11561,1097,0.754191402,0.071563703,0.094887985
CT,10/16/20,8263,6145,351,0.743676631,0.042478519,0.057119609
NJ,7/19/20,3806,2931,982,0.770099842,0.258013663,0.335039236
SD,8/14/20,2265,1408,85,0.621633554,0.037527594,0.060369318
LA,6/4/20,8211,4448,630,0.541712337,0.076726343,0.141636691
AL,9/11/20,14974,11120,1002,0.742620542,0.066915988,0.090107914
IA,10/29/20,8245,5379,647,0.652395391,0.078471801,0.12028258
PR,7/8/20,8114,4629,133,0.57049544,0.016391422,0.028731908
TX,8/16/20,62117,45295,7696,0.729188467,0.12389523,0.169908378
CT,7/27/20,7502,4893,143,0.652226073,0.019061584,0.029225424
MS,11/13/20,8929,5896,775,0.660320305,0.086795834,0.131445047
AZ,6/23/20,10121,8634,3853,0.853077759,0.380693607,0.446258976
VA,9/13/20,17252,11216,1048,0.650127521,0.06074658,0.093437946
DC,8/20/20,3490,2773,140,0.794555874,0.040114613,0.050486837
AL,5/12/20,8192,4813,406,0.587524414,0.049560547,0.084354872
MO,7/27/20,17942,10563,819,0.588730353,0.045647085,0.077534791
AZ,5/30/20,11370,8771,1337,0.771416007,0.11759015,0.152434158
ND,8/12/20,2315,1585,116,0.684665227,0.050107991,0.07318612
IN,7/16/20,10101,6516,1211,0.645084645,0.11988912,0.185850215
VI,10/7/20,188,75,2,0.39893617,0.010638298,0.026666667
UT,9/9/20,5682,3466,173,0.60999648,0.030447026,0.049913445
WV,8/1/20,6540,4446,424,0.679816514,0.064831804,0.095366622
WA,11/6/20,10992,9766,513,0.888464338,0.046670306,0.052529183
IL,8/5/20,28322,19111,1700,0.674775793,0.06002401,0.088954006
KY,10/28/20,14275,10240,1051,0.717338004,0.073625219,0.102636719
TN,7/11/20,29085,15951,1639,0.548427024,0.056352072,0.102752179
AZ,6/19/20,11503,8818,4813,0.766582631,0.418412588,0.545815378
MT,11/18/20,3124,2263,486,0.724391805,0.155569782,0.214759169
NM,8/21/20,3544,2085,103,0.588318284,0.029063205,0.04940048
NH,6/3/20,3086,1886,101,0.611147116,0.032728451,0.053552492
MI,5/17/20,18679,9670,1230,0.517693667,0.06584935,0.127197518
MD,10/4/20,11468,8785,628,0.766044646,0.054761074,0.071485487
MN,10/30/20,11949,8690,955,0.727257511,0.079923006,0.109896433
TX,8/26/20,62778,45626,5818,0.726783268,0.092675778,0.127515013
HI,11/22/20,2643,1798,81,0.680287552,0.030646992,0.045050056
MN,7/22/20,9700,5961,422,0.614536082,0.043505155,0.070793491
NC,7/28/20,20541,17696,1480,0.861496519,0.07205102,0.08363472
CT,10/1/20,8173,6321,206,0.77340022,0.025204943,0.03258978
AK,10/21/20,1436,901,71,0.627437326,0.049442897,0.078801332
AZ,11/2/20,14271,9440,952,0.661481326,0.06670871,0.100847458
FL,5/15/20,32239,18709,3216,0.58032197,0.099754955,0.171895879
KY,5/13/20,12212,6825,491,0.558876515,0.040206354,0.071941392
NE,4/23/20,5247,2718,298,0.518010292,0.056794359,0.109639441
NY,11/3/20,48786,34591,2190,0.709035379,0.044889927,0.063311266
VT,10/13/20,1302,794,5,0.609831029,0.003840246,0.006297229
CT,10/12/20,8183,5758,311,0.703653917,0.038005621,0.05401181
MS,6/29/20,6624,4404,840,0.664855072,0.126811594,0.190735695
UT,8/31/20,5781,3122,162,0.540044975,0.028022833,0.051889814
HI,9/28/20,1076,1739,123,1.616171004,0.114312268,0.070730305
WY,9/9/20,1482,524,29,0.353576248,0.019568151,0.055343511
NH,9/2/20,3271,2210,39,0.675634363,0.011922959,0.017647059
ID,5/24/20,3727,1471,23,0.394687416,0.006171183,0.015635622
PA,9/23/20,29089,25012,1025,0.859843927,0.035236687,0.040980329
